Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1602.810276795675
FDW14,OUT017,1376.5735643892958
NCN55,OUT010,574.7607029871947
FDQ58,OUT017,2428.8294547292858
FDY38,OUT027,5845.002636193788
FDH56,OUT046,1910.4405316678851
FDL48,OUT018,747.260474497689
FDC48,OUT027,2150.6356209583346
FDN33,OUT045,1562.7089884819272
FDA36,OUT017,3137.152477903249
FDT44,OUT017,1871.248106753937
FDQ56,OUT045,1393.2627130019498
NCC54,OUT019,574.6595321377554
FDU11,OUT049,2019.3049991784674
DRL59,OUT013,867.2890515606289
FDM24,OUT049,2391.4048409565034
FDI57,OUT045,2988.1376492617123
DRC12,OUT018,2916.7114989957927
NCM42,OUT027,2927.7484060904635
FDA46,OUT010,505.90468106031034
FDA31,OUT013,2801.4844943822295
NCJ31,OUT035,3828.4343226633723
FDG52,OUT046,786.9177786690242
NCL19,OUT019,285.25442878043447
FDS10,OUT035,2992.2265132855628
FDX22,OUT010,565.6656596889381
NCF19,OUT035,758.9875178632085
NCE06,OUT046,2510.2544617068156
DRC27,OUT046,3939.746629641195
FDE21,OUT035,1983.3443960745249
NCR42,OUT019,130.64555458762993
FDX51,OUT018,2946.199237929951
NCR06,OUT018,612.8042543962199
FDU31,OUT027,5848.194863620732
FDU59,OUT017,2470.462486945673
FDR03,OUT027,5845.002636193788
FDS49,OUT027,2059.8232889267365
FDD48,OUT010,269.23872437368067
NCF18,OUT017,3016.3570089632744
NCD43,OUT027,2866.2714866497104
NCD54,OUT018,2106.027931335897
FDY19,OUT010,269.462630729685
NCY54,OUT017,2829.708078757001
NCL19,OUT018,2435.4358187964963
FDP23,OUT010,570.0640791399308
FDC26,OUT013,1698.259080125272
FDR14,OUT010,130.64555458762993
NCS41,OUT035,3158.5599840081572
FDF41,OUT035,3891.2765206601043
FDU34,OUT046,2079.500156003664
DRH11,OUT046,960.748333849588
FDM03,OUT013,1622.5524979416327
FDS31,OUT017,3100.1295944381454
FDJ20,OUT017,1978.2212968286892
FDV44,OUT027,5154.503467998816
FDG02,OUT049,3174.8719156288003
FDA09,OUT013,2995.3437605513104
FDT04,OUT013,695.4726677026663
FDL58,OUT019,572.7779262544941
FDE52,OUT045,1377.9224978761158
FDW12,OUT035,2461.242625335192
FDL51,OUT017,3725.3932358503093
NCY42,OUT027,3002.1651980172933
FDR07,OUT017,1552.0501880947681
FDN40,OUT045,2391.4300013116012
FDB35,OUT027,2715.5300167751775
FDA22,OUT017,2464.278656915327
NCL06,OUT046,4168.121593665037
FDI35,OUT013,3109.1119418328817
NCW42,OUT045,3754.4230259774954
NCX06,OUT049,2999.9149936504123
FDC37,OUT027,2899.7952321230446
FDZ14,OUT018,1905.468660602895
DRG49,OUT049,3906.183058278872
NCG06,OUT045,4142.315515548364
DRC36,OUT045,2856.985290434398
FDV21,OUT019,281.2852011681198
FDB53,OUT046,2544.823268218434
DRP47,OUT019,572.3027166762279
FDA14,OUT013,2475.4737048356014
DRC24,OUT035,2568.128152621448
FDW21,OUT018,1611.2421818841021
NCH29,OUT046,1582.3850758048611
FDU58,OUT013,3128.3018036306053
FDY27,OUT017,2883.882969895805
FDV56,OUT035,1688.972700260481
FDT59,OUT046,3839.3065526057426
FDB23,OUT046,3790.822310051241
FDR49,OUT045,762.368570234587
FDB03,OUT010,574.8251162600715
FDN39,OUT045,2631.2784132921956
FDX02,OUT027,5845.002636193788
FDQ16,OUT027,2895.544757704704
FDU35,OUT018,1521.3583022754128
NCT29,OUT013,1991.6209969395954
FDZ27,OUT046,791.0424141339216
FDN57,OUT017,2033.8901256342888
FDA03,OUT018,2411.190070252303
FDZ36,OUT045,3144.7851306367
NCU05,OUT013,1399.3931290051587
FDT39,OUT018,2368.457340552121
FDK60,OUT017,1572.0034605600754
FDZ25,OUT017,2880.443261327016
FDG12,OUT046,2113.955630374434
DRB01,OUT019,502.5912205363351
NCC43,OUT027,5848.194863620732
FDX13,OUT019,569.8984950176146
FDM22,OUT049,863.7369148543933
FDJ03,OUT027,1113.2913364218784
FDU14,OUT018,3780.8510120055557
FDB33,OUT010,380.33815952689275
FDP27,OUT046,3195.6668238673533
FDO38,OUT010,159.77061664639322
FDE28,OUT027,5848.194863620732
FDO27,OUT035,1572.712255866006
DRL23,OUT027,2892.6505999466685
FDS28,OUT046,956.1860477420408
FDX24,OUT013,1451.8725220308975
FDZ02,OUT035,1584.9618234557358
FDL46,OUT045,1850.8105128497343
FDS60,OUT027,4794.098704910268
NCO06,OUT017,579.8698003854281
FDO16,OUT035,1370.585050707586
FDC60,OUT049,1366.5389907981375
FDA48,OUT018,3392.520750758441
FDZ36,OUT027,5152.09011295276
FDK27,OUT045,2043.3238053719401
FDW23,OUT018,605.1095574069091
FDM14,OUT018,1653.3994646520975
FDM14,OUT013,1638.00160784521
FDW60,OUT018,2826.2903306802104
FDE21,OUT013,1996.1060930623341
NCM42,OUT035,1719.924009908475
FDY59,OUT010,226.08369794214136
DRI49,OUT049,1294.8423237063585
FDT28,OUT019,364.46299779812284
FDQ22,OUT018,598.3745627723023
FDR60,OUT049,1255.4106740473783
FDC50,OUT019,234.07588154394503
FDV24,OUT013,2349.048639176542
DRF48,OUT010,493.15109845084226
FDQ47,OUT046,613.8377830999439
DRN36,OUT049,1517.3396885271304
NCY06,OUT035,2007.9256922326347
FDE52,OUT035,1379.7997923647667
NCB54,OUT045,1974.9135318410774
NCF31,OUT035,2450.303840619546
FDJ08,OUT027,5166.174541794164
NCC07,OUT017,1654.1594447518812
NCD19,OUT027,1268.355190366456
FDL46,OUT049,1947.6472006822735
FDM20,OUT045,4020.191497064013
NCI06,OUT010,448.19678164987056
DRM11,OUT035,4284.882634959769
NCH07,OUT018,2490.5454029954126
FDS23,OUT013,2066.0715383190554
FDO49,OUT018,750.7932101197474
FDS35,OUT049,1066.5995833033103
DRK39,OUT045,1363.6000386434416
DRI39,OUT049,903.0102189245903
FDV04,OUT017,2467.5236075583034
NCN14,OUT035,3067.0980040831328
FDH08,OUT013,3788.4443719801466
FDS20,OUT046,3230.893724809507
FDV40,OUT049,1139.7795572323917
FDZ48,OUT010,258.73504036530977
FDS24,OUT027,2575.44727067272
FDK44,OUT049,2806.2966909932366
FDS48,OUT045,2565.717991280922
FDK26,OUT010,495.6693738062871
FDD23,OUT045,3100.9427613044713
NCH54,OUT017,2630.0138669311377
NCP14,OUT010,240.8204099733929
FDM60,OUT010,130.64555458762993
FDV24,OUT017,2391.778328615212
FDH08,OUT018,3519.466803957747
FDS12,OUT027,2993.6938778836243
FDR39,OUT027,4878.1844426902
FDP12,OUT027,1035.347492154953
DRF60,OUT027,5848.194863620732
FDC09,OUT035,1692.9901780662315
FDF50,OUT018,3017.753876203743
FDG28,OUT035,4005.140890028936
NCE19,OUT017,863.7918310103111
NCM53,OUT010,249.05409408484743
NCN18,OUT049,1696.232189462299
FDF32,OUT035,3125.0714614201925
FDF11,OUT013,3927.871121316024
